Facility_Mnemonic,Location_Mnemonic,Coid,Network_Mnemonic_CS,Facility_Desc
COCFV     ,F.LAB-MC  ,31054,GAA ,Fairview Park Hospital
Aventura  ,?,25018,1SQI,Aventura
Plantation,?,50941,1SQI,Plantation
COCSZ     ,D.CVT     ,32801,NVA ,Sunrise Hospital And Medical C
COCTL     ,K.DS      ,30954,FLI ,Capital Regional Medical Cente
COCWV     ,F.ALL     ,50599,CAC ,West Hills Surgery Ctr
COCEI     ,E.ECREG   ,34206,TNB ,Parkridge East Hospital
COCWM     ,H.RM      ,39385,TXF ,Methodist Hospital
COCLSU    ,W.HLTHCONN,9724,KSA ,Lee's Summit Medical Center
COCGBE    ,MADCOCGBE ,7126,TXG ,Medical City Green Oaks Hospit
COCFH     ,F.OP3     ,35953,FLC ,Fawcett Memorial Hospital
COCPL     ,E.OFT     ,34310,TXG ,Medical City Plano
COCLV     ,F.PK-NOTE ,31824,LAB ,Lakeview Regional Medical Cent
COCTW     ,G.APPHLTH ,30948,FLI ,Twin Cities Hospital
EL PASO-EA,?,9388,1SQI,EL PASO-EAST
Myrtle Bea,?,54092,1SQI,Myrtle Beach
COCMO     ,G.3S3     ,32819,NVA ,Mountainview Hospital
Bountiful ,?,25022,1SQI,Bountiful
Fairfax   ,?,9394,1SQI,Fairfax
COCDAB    ,CM.CTYFIRE,34011,SCA ,Colleton Medical Center
Port St. L,?,50959,1SQI,Port St. Lucie
COCSU     ,G.COLDDS  ,26620,TNB ,Parkridge West Hospital
COCFPA    ,BF.3DAY   ,26790,TXG ,Medical City Frisco
Dallas - L,?,50505,1SQI,Dallas - Las Colinas
COCWY     ,W.SCLA    ,31608,KSB ,Wesley Medical Center
COCCC     ,D.CBUS    ,34632,VAA ,CJW Medical Center
Atlanta PD,?,8628,1SQI,Atlanta PD
.         ,J.HOSPICE ,37969,FLJ ,JFK Medical Center
COCSED    ,SE.BB     ,27101,COA ,SOUTHWEST ER
COCCR     ,B.BID     ,38318,TXA ,Conroe Regional Medical Center
North Miam,?,9384,1SQI,North Miami Beach
COCDR     ,G.CONTRACT,38329,TXG ,Medical City Denton
COCRZ     ,BK.HR     ,34294,TNA ,RIVER PARK HOSPITAL
COCCM     ,I.STE200  ,9726,KSA ,Centerpoint Medical Center
Sugar Land,?,25035,1SQI,Sugar Land
Reston    ,?,9496,1SQI,Reston
COCMT     ,M.5S      ,34392,TXF ,Metropolitan Methodist Hospita
COCQR     ,K.PAIN    ,30933,FLK ,Raulerson Hospital
COCAA_O   ,?,30666,COA ,The Medical Center Aurora_DO NOT USE
Oklahoma C,?,53601,1SQI,Oklahoma City
COCCBF    ,G.OP/MDSRG,34410,UTA ,Brigham City Community Hospita
COCWF     ,AF.XI3    ,30504,CAC ,West Hills Hospital & Medical 
STMH      ,W.ES      ,34407,UTA ,St Mark's Hospital
COCSO     ,H.AMERHLTH,34242,TNA ,Southern Hills Medical Center
COCJU     ,K.POD     ,58991,FLC ,Doctors Same Day Surgery
COCBM     ,V.NRS     ,38340,TXA ,Bayshore Medical Center
COCFI_O   ,?,30645,COA ,SPALDING REHABILITATION HOSPIT
MSH       ,V.NUCMED  ,26870,KYB ,Memorial Satilla Health
COCPZ     ,M.WDASUR  ,34318,TXG ,Medical City Fort Worth
COCST     ,L.ACCT    ,39307,TXB ,Las Palmas Medical Center
Houston - ,?,8897,1SQI,Houston - BayShore
COCGBP    ,?,8165,GAA ,COLISEUM NORTHSIDE HOSPITAL
COCSOA    ,E.TMRO    ,26111,FLB ,Sister Emmanuel LTC Hospital
COCZN     ,D.AMS     ,34654,VAB ,LewisGale Hospital-Alleghany
COCIE     ,F.LODC    ,37938,FLL ,Lake City Medical Center
COCCBA    ,L.OBED    ,6676,TXI ,St David's Medical Center
COCRR     ,H.NSYB    ,34321,TXA ,Rio Grande Regional Hospital
Tampa     ,?,50901,1SQI,Tampa
COCAK     ,L.PTACTG  ,30201,AKA ,Alaska Regional Hospital
Austin - B,?,54301,1SQI,Austin - Bailey Square
COCLR     ,SM.WC     ,30936,FLG ,Largo Medical Center
COCWC     ,Z.CWS     ,31880,LAC ,Women's & Children's Hospital
COCUB     ,X.MUDOUT  ,27200,COA ,P-SL Medical Center
COCTD     ,NP.HR     ,25073,TNA ,Portland Medical Center
Macon     ,?,8162,1SQI,Macon
Houston Tr,?,9386,1SQI,Houston Travis
Denver - M,?,25108,1SQI,Denver - Musculoskeletal
Atlanta - ,?,8617,1SQI,Atlanta - Northlake
Roanoke   ,?,25009,1SQI,Roanoke
COCPF     ,D.US      ,37940,FLJ ,Palms West Hospital
Rome      ,?,9881,1SQI,Rome
COCRH     ,G.IUSAMID ,34626,VAA ,Retreat Hospital
COCSDA    ,G.ONECALL ,26825,TXI ,St. David's Surgical Hospital
St. Peters,?,50975,1SQI,St. Petersburg
COCVA     ,VR.PAI    ,37358,TXA ,Valley Regional Medical Center
Houston - ,?,9789,1SQI,Houston - Fannin
COCPN_O   ,E.CRAN    ,33608,OKA ,OU Medical Center
COCHU     ,X.3S      ,31057,GAA ,Hughston Orthopedic Hospital
Overland P,?,9960,1SQI,Overland Park
Dallas - P,?,3061,1SQI,Dallas - Plano Endo
COCICF    ,G.US      ,23023,SCA ,Carolina Forest Imaging Center
Chattanoog,?,25020,1SQI,Chattanooga ASC
Trinity Pa,?,25002,1SQI,Trinity Park
Denver Nor,?,9902,1SQI,Denver North Suburban
COCSJ     ,J.AM      ,34357,TXA ,Spring Branch Medical Center
COCSU     ,G.HIM     ,36205,TNB ,GRANDVIEW MEDICAL CENTER
Salem     ,?,3472,1SQI,Salem
COCTA     ,?,34703,WAA ,CAPITAL MEDICAL CENTER
Dallas End,?,54354,1SQI,Dallas Endoscopy
COCAO     ,M.DIAL    ,31801,LAA ,AVOYELLES HOSPITAL
McAllen   ,?,35331,1SQI,McAllen
Las Vegas ,?,52808,1SQI,Las Vegas Sahara
COCLN     ,Q.MNT     ,31857,LAC ,The Regional Medical Center Of
COCID     ,D.PICU    ,31202,IDA ,Eastern Idaho RMC
COCPA     ,L.FNS     ,30923,FLJ ,JFK Medical Center North Campu
Lafayette ,?,9436,1SQI,Lafayette
COCSL     ,A.CPS     ,37355,TXA ,East Houston Medical Center
Dallas - F,?,9441,1SQI,Dallas - Fort Worth
COCMS     ,E.NURTELE ,36956,FLH ,Specialty Hospital Jacksonvill
Hanover   ,?,9459,1SQI,Hanover
COCSHA    ,z.EIT.ARC1,26630,VAC ,StoneSprings Hospital Center
COCEH     ,E.LMBY    ,35952,FLC ,Englewood Community Hospital
COCYE     ,AM.PREOPH ,27300,COA ,Rose Medical Center
COCOH     ,K.5E      ,30997,FLG ,Oak Hill Hospital
COCPC     ,F.VCIOPDC ,34224,TNB ,Parkridge Medical Center
Ft. Pierce,?,25019,1SQI,Ft. Pierce
COCHHA    ,Y.CATH    ,25960,TXI ,Heart Hospital Of Austin
COCBR     ,H.MA      ,30917,FLG ,Brandon Regional Hospital
COCDE     ,D.SDC-411 ,34223,TNA ,Summit Medical Center
COCTE     ,Y.EST     ,39339,TXA ,Texas Orthopedic Hospital
COCPE     ,J.CPOE    ,34605,VAB ,LewisGale Hospital-Pulaski
Austin - S,?,8538,1SQI,Austin - South
COCCF     ,F.WPK     ,34319,TXA ,Woman's Hospital Of Texas
COCCV     ,CC.FNS    ,26700,UTA ,Cache Valley Hospital
Cleveland ,?,53509,1SQI,Cleveland West
COCVO     ,V.URO     ,34385,TXF ,Northeast Methodist Hospital
COCFI     ,AN.DRV    ,27490,COA ,Spalding Rehabilitation Hospit
COCMMC    ,E.RM      ,26537,FLQ ,Memorial Hospital of Tampa
COCHM     ,Q.OSLBR   ,36243,TNA ,Horizon Medical Center
COCCS     ,H.CCPC    ,50973,FLC ,Cape Coral Surgery Center Ltd
COCRX     ,G.ERDRGRP ,30555,CAC ,Los Robles Hospital And Medica
COCSAA    ,Y.OP SURG ,25325,VAA ,Spotsylvania Regional Medical 
COCLW     ,L.BURN    ,30949,FLG ,Blake Medical Center
COCSY     ,SM.XMS    ,9391,TNA ,StoneCrest Medical Center
COCGBT    ,dw.l&d    ,8385,CAA ,Regional Medical Center Of San
COCBP     ,Y.ZPCM003 ,30951,FLG ,Regional Medical Center Bayone
COCYS     ,K.RAD 2   ,8540,VAC ,Reston Hospital Center
COCNP     ,E.ZPCM006 ,30941,FLG ,Medical Center of Trinity
Houston - ,?,54314,1SQI,Houston - Gramercy
Orlando SS,?,50927,1SQI,Orlando SSO
COCEW     ,D.OT      ,37934,FLG ,Edward White Hospital
COCIX     ,F.3DT     ,54325,TXF ,Surgicare Of Central San Anton
Charleston,?,34017,1SQI,Charleston SC
COCWR     ,H.LABTWIN ,30928,FLI ,West Florida Hospital
COCICC    ,LC.RAD    ,3449,VAA ,"Chesterfield Imaging, LLC"
Orange Par,?,50923,1SQI,Orange Park
COCAA     ,E.ENDO    ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.7NS    ,27100,COA ,Swedish Medical Center
COCCA     ,V.ER3     ,8625,GAA ,Cartersville Medical Center
COCXG     ,J.ERFSDS  ,30996,FLK ,St. Lucie Medical Center
COCAY     ,X.ORTH    ,54327,TXF ,Methodist Ambulatory Surgery H
COCRBE    ,MADCOCRBE ,9728,KSA ,Belton Regional Medical Center
COCNV     ,G.SDC-311 ,34293,TNA ,Skyline Medical Center
COCICP    ,Q.US      ,23001,VAA ,Independence Park Imaging
COCBAX    ,E.OAP     ,6679,TXI ,St David's Pavilion
COCDC     ,Y.STX     ,31033,GAA ,Doctors Hospital (Columbus)
COCMHB    ,Z.SURG    ,26110,FLB ,Mercy Hospital
COCSMC    ,SM.NA     ,25558,FLG ,Largo Medical Center - Indian
COCZA     ,L.RX      ,27401,COA ,Centennial Healthcare Plaza
COCDW     ,MADCOCDW  ,8611,GAA ,Emory Dunwoody Medical Center
COCXJ     ,G.GF      ,30916,FLL ,North Florida Regional Medical
COCICB    ,MADCOCICB ,9798,VAA ,Buford Road Imaging
COCEAH    ,BA.DWND   ,27491,COA ,Spalding @ PSL
COCEAH_O  ,MADCOCEAH ,25100,COA ,Spalding @ PSL
COCPJ     ,Z.SSV     ,31050,GAA ,Palmyra Medical Centers
COCWS     ,W.URC     ,30908,FLB ,Westside Regional Medical Cent
COCUH     ,UABRR     ,35940,FLB ,University Hospital
COCNH     ,N.2OPS    ,34329,TXG ,Medical City North Hills
COCSW     ,W.HILL    ,35955,FLC ,Southwest Florida Reg Med Cent
Jacksonvil,?,50985,1SQI,Jacksonville Plaza
Kissimmee ,?,50917,1SQI,Kissimmee
COCMK     ,Q.FNS     ,38333,TXG ,Medical City McKinney
COCYK     ,G.XRAY    ,30927,FLL ,Ocala Regional Medical Center
COCWU     ,Z.PAC     ,34327,TXA ,West Houston Medical Center
COCOVP    ,V.TIACLIN ,9722,KSA ,Overland Park Regional Medical
COCMN     ,E.ENG     ,37333,TXA ,Mainland Medical Center
COCGO     ,M.GS      ,30572,CAA ,Good Samaritan Hospital
COCQV     ,F.BIO     ,34003,SCA ,Grand Strand Medical Center
COCCBM    ,Q.CCD     ,34415,UTA ,Ogden Regional Medical Center
COCGV     ,AA.PSC    ,31767,TNA ,Greenview Regional Hospital
COCLS     ,E.UROD    ,31821,LAB ,LAKESIDE HOSPITAL
COCOA     ,D.ENDO    ,31803,LAA ,OAKDALE COMMUNITY HOSPITAL
COCSNV    ,H.EDPSYC  ,8967,NVA ,Southern Hills Hosp & Med Ctr-
COCNVC    ,D.SDC     ,9472,VAC ,NORTHERN VIRGINIA COMMUNITY HO
COCCE     ,CERP      ,35932,FLD ,CEDARS MEDICAL CENTER
COCDL     ,H.SHCG    ,34325,TXG ,Medical City Dallas
COCRPC    ,L.XMS     ,9729,KSA ,Research Psychiatric Center
COCPOP    ,F.CA      ,26536,FLQ ,Palms of Pasadena Hospital
COCTU     ,D.VASLSE  ,31810,LAB ,Tulane University Hospital & C
COCRC     ,D.FOUND   ,9727,KSA ,Research Medical Center
COCIRF    ,SEBSUR    ,8296,IRL ,Integrated Regional Laboratory
COCGHA    ,E.MM      ,26330,KSB ,Wesley Woodlawn Hospital & ER
COCTAC    ,D.PC      ,26535,FLQ ,Tampa Community Hospital
COCMEN    ,X.4E      ,9723,KSA ,Menorah Medical Center
Brandon   ,?,50911,1SQI,Brandon
COCRM     ,M.CF      ,31052,GAA ,Redmond Regional Medical Cente
COCOS     ,N.PBX     ,30902,FLF ,Osceola Regional Medical Cente
Jacksonvil,?,3255,1SQI,Jacksonville Plaza
Independen,?,9914,1SQI,Independence
COCGBA    ,N.QUE     ,6678,TXI ,St David's Rehab
COCTR     ,D.TLIB    ,34001,SCA ,Trident Regional Medical Cente
COCGTH    ,V.HIM     ,25067,TXI ,St. David's Georgetown
COCSK     ,J.RHD     ,7850,LAA ,SAVOY MEDICAL CENTER
COCSE     ,J.AD      ,37941,FLG ,South Bay Hospital
COCSN     ,N.ET      ,34335,TXF ,Methodist Specialty & Transpla
COCMHL    ,BA.MEDST  ,26890,TXF ,Methodist Hospital South
COCAT     ,V.PTRL    ,30920,FLE ,Aventura Hospital & Medical Ce
COCJM     ,J.3NOR    ,36957,FLH ,Memorial Hospital Jacksonville
COCBAU    ,H.OPS4    ,8224,TXI ,North Austin Medical Center
COCEJC    ,EJ.STX    ,3402,GAA ,EMORY JOHNS CREEK HOSPITAL
COCSR     ,AS.CHFC   ,27150,COA ,Sky Ridge Medical Center
COCTG     ,QRM.H     ,31408,INA ,Terre Haute Regional Hospital
COCDAT    ,X.PK-NOTE ,6610,TXF ,"Northeast Methodist Surgicare,"
COCDT     ,D.HLEMP   ,36930,FLC ,Doctors Hospital Of Sarasota
Denver Sky,?,9475,1SQI,Denver Sky Ridge
COCFV     ,F.CTS     ,31054,GAA ,Fairview Park Hospital
COCSZ     ,D.ZJ04    ,32801,NVA ,Sunrise Hospital And Medical C
COCTL     ,K.OBED    ,30954,FLI ,Capital Regional Medical Cente
COCWV     ,V.OBR     ,50599,CAC ,West Hills Surgery Ctr
COCEI     ,Z.AUD     ,34206,TNB ,Parkridge East Hospital
COCWM     ,H.PDOC    ,39385,TXF ,Methodist Hospital
COCLSU    ,W.MTRM2   ,9724,KSA ,Lee's Summit Medical Center
COCGBE    ,BA.SB4    ,7126,TXG ,Medical City Green Oaks Hospit
COCFH     ,F.CH      ,35953,FLC ,Fawcett Memorial Hospital
COCPL     ,E.4NO     ,34310,TXG ,Medical City Plano
COCLV     ,F.ICUD    ,31824,LAB ,Lakeview Regional Medical Cent
COCTW     ,G.MCR     ,30948,FLI ,Twin Cities Hospital
COCMO     ,G.NSICU   ,32819,NVA ,Mountainview Hospital
COCDO     ,Y.LDRP    ,8298,TXA ,Corpus Christi Medical Center
COCDAB    ,CM.VNA    ,34011,SCA ,Colleton Medical Center
COCSU     ,G.WPOM    ,26620,TNB ,Parkridge West Hospital
COCFPA    ,BF.RX     ,26790,TXG ,Medical City Frisco
COCWY     ,W.PPT     ,31608,KSB ,Wesley Medical Center
COCCC     ,D.CMVA    ,34632,VAA ,CJW Medical Center
.         ,02SOM     ,37969,FLJ ,JFK Medical Center
COCSED    ,SE.BIOM   ,27101,COA ,SOUTHWEST ER
COCCR     ,B.ECH     ,38318,TXA ,Conroe Regional Medical Center
AKAR      ,L.PTACTG  ,30201,UTA ,Alaska Regional Hospital
COCDR     ,G.SDC8    ,38329,TXG ,Medical City Denton
COCRZ     ,BK.PACU   ,34294,TNA ,RIVER PARK HOSPITAL
COCCM     ,Z.CASHIER ,9726,KSA ,Centerpoint Medical Center
COCMT     ,M.CR      ,34392,TXF ,Metropolitan Methodist Hospita
COCQR     ,K.ER9     ,30933,FLK ,Raulerson Hospital
COCKW     ,C.BED     ,39233,TXA ,Kingwood Medical Center
COCCBF    ,G.US      ,34410,UTA ,Brigham City Community Hospita
COCWF     ,4WST      ,30504,CAC ,West Hills Hospital & Medical 
STMH      ,W.RC      ,34407,UTA ,St Mark's Hospital
COCSO     ,H.CVRR    ,34242,TNA ,Southern Hills Medical Center
COCJU     ,K.ORT     ,58991,FLC ,Doctors Same Day Surgery
COCBM     ,V.CAN     ,38340,TXA ,Bayshore Medical Center
COCEAV_O  ,?,30651,COA ,EMERGENCY & TRANSPORT SYSTEM
MSH       ,V.OBN     ,26870,KYB ,Memorial Satilla Health
COCPZ     ,M.PAT     ,34318,TXG ,Medical City Fort Worth
COCST     ,STUR      ,39307,TXB ,Las Palmas Medical Center
COCSOA    ,E.MR      ,26111,FLB ,Sister Emmanuel LTC Hospital
COCZN     ,D.ESI     ,34654,VAB ,LewisGale Hospital-Alleghany
COCIE     ,F.ED      ,37938,FLL ,Lake City Medical Center
COCCBA    ,L.NEURO   ,6676,TXI ,St David's Medical Center
COCRR     ,H.MERTELE ,34321,TXA ,Rio Grande Regional Hospital
COCAK     ,L.TL      ,30201,AKA ,Alaska Regional Hospital
COCWI     ,W.CCU     ,31802,LAA ,WINN PARISH MEDICAL CENTER
COCLR     ,M.LRWCB   ,30936,FLG ,Largo Medical Center
COCWC     ,Z.PAC     ,31880,LAC ,Women's & Children's Hospital
COCUB     ,X.SPEPATH ,27200,COA ,P-SL Medical Center
COCTD     ,NP.PBX    ,25073,TNA ,Portland Medical Center
Coral Spri,?,35967,1SQI,Coral Springs
COCPMA    ,Y.RX      ,26450,FLF ,Poinciana Medical Center
Chicago   ,?,51314,1SQI,Chicago
COCPF     ,D.3C      ,37940,FLJ ,Palms West Hospital
COCRH     ,G.MEDSRSE ,34626,VAA ,Retreat Hospital
COCSDA    ,G.MCRB    ,26825,TXI ,St. David's Surgical Hospital
Lake Worth,?,50954,1SQI,Lake Worth Eye
COCVA     ,VR.IMAG   ,37358,TXA ,Valley Regional Medical Center
COCPN_O   ,EUR.GREPLA,33608,OKA ,OU Medical Center
COCHU     ,X.DC      ,31057,GAA ,Hughston Orthopedic Hospital
Mid-Americ,?,3424,1SQI,Mid-America
COCICF    ,G.RAD     ,23023,SCA ,Carolina Forest Imaging Center
COCSJ     ,J.FERT    ,34357,TXA ,Spring Branch Medical Center
COCSU     ,G.PAT     ,36205,TNB ,GRANDVIEW MEDICAL CENTER
Lakeland  ,?,50955,1SQI,Lakeland
COCAO     ,M.AVOYMANH,31801,LAA ,AVOYELLES HOSPITAL
Dallas - D,?,9849,1SQI,Dallas - Denton
COCLN     ,Q.DIA     ,31857,LAC ,The Regional Medical Center Of
COCID     ,D.CPPO    ,31202,IDA ,Eastern Idaho RMC
COCPA     ,L.ENV     ,30923,FLJ ,JFK Medical Center North Campu
COCCT     ,M.PHYLPP  ,34222,TNA ,Centennial Medical Center
COCSL     ,AE.TEST   ,37355,TXA ,East Houston Medical Center
COCSED_O  ,?,3122,COA ,SOUTHWEST ER_DO NOT USE
COCMS     ,E.EKG     ,36956,FLH ,Specialty Hospital Jacksonvill
COCDWC    ,Y.MAMM    ,25551,FLH ,Deerwood Imaging At Center One
COCSHA    ,E.OBED    ,26630,VAC ,StoneSprings Hospital Center
COCEH     ,X.ABG     ,35952,FLC ,Englewood Community Hospital
COCYE     ,AM.ENG    ,27300,COA ,Rose Medical Center
COCOH     ,K.RLGL    ,30997,FLG ,Oak Hill Hospital
COCPC     ,F.VCIOP   ,34224,TNB ,Parkridge Medical Center
COCHHA    ,Y.ADMMAIN ,25960,TXI ,Heart Hospital Of Austin
COCBR     ,H.FC      ,30917,FLG ,Brandon Regional Hospital
COCDE     ,D.XR      ,34223,TNA ,Summit Medical Center
COCTE     ,Y.RXR     ,39339,TXA ,Texas Orthopedic Hospital
COCPE     ,J.REMOTE  ,34605,VAB ,LewisGale Hospital-Pulaski
COCCF     ,F.TXR     ,34319,TXA ,Woman's Hospital Of Texas
COCCV     ,CV.ONCNAV ,26700,UTA ,Cache Valley Hospital
COCVO     ,V.1NS     ,34385,TXF ,Northeast Methodist Hospital
COCFI     ,AN.CMSD   ,27490,COA ,Spalding Rehabilitation Hospit
COCMMC    ,E.TMRO    ,26537,FLQ ,Memorial Hospital of Tampa
