segindex,fieldname,compname,subcompname,segindex,newfieldname,newcompname,newsubcompname
ACC.4.19,acc_auto_accident_state,alt_value_set_ver_id,,ACC.4.19,,,
ACC.4.20,acc_auto_accident_state,second_alt_coding_sys_oid,,ACC.4.20,,,
ACC.4.21,acc_auto_accident_state,second_alt_value_set_oid,,ACC.4.21,,,
ACC.4.22,acc_auto_accident_state,second_alt_value_set_ver_id,,ACC.4.22,,,
ACC.5,acc_accident_job_related_ind,,,ACC.5,,,
ACC.6,acc_accident_death_ind,,,ACC.6,,,
ACC.7,acc_entered_by,,,ACC.7,,,
ACC.7.1,acc_entered_by,person_id,,ACC.7.1,,,
ACC.7.2,acc_entered_by,last_name,,ACC.7.2,,,
ACC.7.2.1,acc_entered_by,last_name,surname,ACC.7.2.1,,,
ACC.7.2.2,acc_entered_by,last_name,own_last_name_prefix,ACC.7.2.2,,,
ACC.7.2.3,acc_entered_by,last_name,own_last_name,ACC.7.2.3,,,
ACC.7.2.4,acc_entered_by,last_name,spouse_last_name_prefix,ACC.7.2.4,,,
ACC.7.2.5,acc_entered_by,last_name,spouse_last_name,ACC.7.2.5,,,
ACC.7.3,acc_entered_by,first_name,,ACC.7.3,,,
ACC.7.4,acc_entered_by,middle_name,,ACC.7.4,,,
ACC.7.5,acc_entered_by,suffix,,ACC.7.5,,,
ACC.7.6,acc_entered_by,person_prefix,,ACC.7.6,,,
ACC.7.7,acc_entered_by,degree,,ACC.7.7,,,
ACC.7.8,acc_entered_by,source_table,,ACC.7.8,,,
ACC.7.8.1,acc_entered_by,source_table,primary_id,ACC.7.8.1,,,
ACC.7.8.2,acc_entered_by,source_table,text,ACC.7.8.2,,,
ACC.7.8.3,acc_entered_by,source_table,name_of_coding_sys,ACC.7.8.3,,,
ACC.7.8.4,acc_entered_by,source_table,alt_identifier,ACC.7.8.4,,,
ACC.7.8.5,acc_entered_by,source_table,alt_text,ACC.7.8.5,,,
ACC.7.8.6,acc_entered_by,source_table,name_of_alt_coding_sys,ACC.7.8.6,,,
ACC.7.8.7,acc_entered_by,source_table,coding_sys_ver_id,ACC.7.8.7,,,
ACC.7.8.8,acc_entered_by,source_table,alt_coding_sys_ver_id,ACC.7.8.8,,,
ACC.7.8.9,acc_entered_by,source_table,original_text,ACC.7.8.9,,,
ACC.7.8.10,acc_entered_by,source_table,second_alt_id,ACC.7.8.10,,,
ACC.7.8.11,acc_entered_by,source_table,second_alt_text,ACC.7.8.11,,,
ACC.7.8.12,acc_entered_by,source_table,name_of_second_alt_coding_sys,ACC.7.8.12,,,
ACC.7.8.13,acc_entered_by,source_table,second_alt_coding_sys_ver_id,ACC.7.8.13,,,
ACC.7.8.14,acc_entered_by,source_table,coding_sys_oid,ACC.7.8.14,,,
ACC.7.8.15,acc_entered_by,source_table,value_set_oid,ACC.7.8.15,,,
ACC.7.8.16,acc_entered_by,source_table,value_set_ver_id,ACC.7.8.16,,,
ACC.7.8.17,acc_entered_by,source_table,alt_coding_sys_oid,ACC.7.8.17,,,
ACC.7.8.18,acc_entered_by,source_table,alt_value_set_oid,ACC.7.8.18,,,
ACC.7.8.19,acc_entered_by,source_table,alt_value_set_ver_id,ACC.7.8.19,,,
ACC.7.8.20,acc_entered_by,source_table,second_alt_coding_sys_oid,ACC.7.8.20,,,
ACC.7.8.21,acc_entered_by,source_table,second_alt_value_set_oid,ACC.7.8.21,,,
ACC.7.8.22,acc_entered_by,source_table,second_alt_value_set_ver_id,ACC.7.8.22,,,
ACC.7.9,acc_entered_by,assgn_authr,,ACC.7.9,,,
ACC.7.9.1,acc_entered_by,assgn_authr,namespace_id,ACC.7.9.1,,,
ACC.7.9.2,acc_entered_by,assgn_authr,universal_id,ACC.7.9.2,,,
ACC.7.9.3,acc_entered_by,assgn_authr,universal_id_type,ACC.7.9.3,,,
ACC.7.10,acc_entered_by,name_type_code,,ACC.7.10,,,
ACC.7.11,acc_entered_by,identifier_check_digit,,ACC.7.11,,,
ACC.7.12,acc_entered_by,check_digit_scheme,,ACC.7.12,,,
ACC.7.13,acc_entered_by,identifier_type_code,,ACC.7.13,,,
ACC.7.14,acc_entered_by,assgn_facility,,ACC.7.14,,,
ACC.7.14.1,acc_entered_by,assgn_facility,namespace_id,ACC.7.14.1,,,
ACC.7.14.2,acc_entered_by,assgn_facility,universal_id,ACC.7.14.2,,,
ACC.7.14.3,acc_entered_by,assgn_facility,universal_id_type,ACC.7.14.3,,,
ACC.7.15,acc_entered_by,name_rep_code,,ACC.7.15,,,
ACC.7.16,acc_entered_by,context,,ACC.7.16,,,
ACC.7.16.1,acc_entered_by,context,primary_id,ACC.7.16.1,,,
ACC.7.16.2,acc_entered_by,context,text,ACC.7.16.2,,,
ACC.7.16.3,acc_entered_by,context,name_of_coding_sys,ACC.7.16.3,,,
ACC.7.16.4,acc_entered_by,context,alt_identifier,ACC.7.16.4,,,
ACC.7.16.5,acc_entered_by,context,alt_text,ACC.7.16.5,,,
ACC.7.16.6,acc_entered_by,context,name_of_alt_coding_sys,ACC.7.16.6,,,
ACC.7.16.7,acc_entered_by,context,coding_sys_ver_id,ACC.7.16.7,,,
ACC.7.16.8,acc_entered_by,context,alt_coding_sys_ver_id,ACC.7.16.8,,,
ACC.7.16.9,acc_entered_by,context,original_text,ACC.7.16.9,,,
ACC.7.16.10,acc_entered_by,context,second_alt_id,ACC.7.16.10,,,
ACC.7.16.11,acc_entered_by,context,second_alt_text,ACC.7.16.11,,,
ACC.7.16.12,acc_entered_by,context,name_of_second_alt_coding_sys,ACC.7.16.12,,,
ACC.7.16.13,acc_entered_by,context,second_alt_coding_sys_ver_id,ACC.7.16.13,,,
ACC.7.16.14,acc_entered_by,context,coding_sys_oid,ACC.7.16.14,,,
ACC.7.16.15,acc_entered_by,context,value_set_oid,ACC.7.16.15,,,
ACC.7.16.16,acc_entered_by,context,value_set_ver_id,ACC.7.16.16,,,
ACC.7.16.17,acc_entered_by,context,alt_coding_sys_oid,ACC.7.16.17,,,
ACC.7.16.18,acc_entered_by,context,alt_value_set_oid,ACC.7.16.18,,,
ACC.7.16.19,acc_entered_by,context,alt_value_set_ver_id,ACC.7.16.19,,,
ACC.7.16.20,acc_entered_by,context,second_alt_coding_sys_oid,ACC.7.16.20,,,
ACC.7.16.21,acc_entered_by,context,second_alt_value_set_oid,ACC.7.16.21,,,
ACC.7.16.22,acc_entered_by,context,second_alt_value_set_ver_id,ACC.7.16.22,,,
ACC.7.17,acc_entered_by,validity_range,,ACC.7.17,,,
ACC.7.17.1,acc_entered_by,validity_range,eff_from_date_time,ACC.7.17.1,,,
ACC.7.17.2,acc_entered_by,validity_range,eff_to_date_time,ACC.7.17.2,,,
ACC.7.18,acc_entered_by,assembly_order,,ACC.7.18,,,
ACC.7.19,acc_entered_by,eff_from_date_time,,ACC.7.19,,,
ACC.7.20,acc_entered_by,eff_to_date_time,,ACC.7.20,,,
ACC.7.21,acc_entered_by,prof_suffix,,ACC.7.21,,,
ACC.7.22,acc_entered_by,assgn_jurisdiction,,ACC.7.22,,,
ACC.7.22.1,acc_entered_by,assgn_jurisdiction,primary_id,ACC.7.22.1,,,
ACC.7.22.2,acc_entered_by,assgn_jurisdiction,text,ACC.7.22.2,,,
ACC.7.22.3,acc_entered_by,assgn_jurisdiction,name_of_coding_sys,ACC.7.22.3,,,
ACC.7.22.4,acc_entered_by,assgn_jurisdiction,alt_identifier,ACC.7.22.4,,,
ACC.7.22.5,acc_entered_by,assgn_jurisdiction,alt_text,ACC.7.22.5,,,
ACC.7.22.6,acc_entered_by,assgn_jurisdiction,name_of_alt_coding_sys,ACC.7.22.6,,,
ACC.7.22.7,acc_entered_by,assgn_jurisdiction,coding_sys_ver_id,ACC.7.22.7,,,
ACC.7.22.8,acc_entered_by,assgn_jurisdiction,alt_coding_sys_ver_id,ACC.7.22.8,,,
ACC.7.22.9,acc_entered_by,assgn_jurisdiction,original_text,ACC.7.22.9,,,
ACC.7.22.10,acc_entered_by,assgn_jurisdiction,second_alt_id,ACC.7.22.10,,,
ACC.7.22.11,acc_entered_by,assgn_jurisdiction,second_alt_text,ACC.7.22.11,,,
ACC.7.22.12,acc_entered_by,assgn_jurisdiction,name_of_second_alt_coding_sys,ACC.7.22.12,,,
ACC.7.22.13,acc_entered_by,assgn_jurisdiction,second_alt_coding_sys_ver_id,ACC.7.22.13,,,
ACC.7.22.14,acc_entered_by,assgn_jurisdiction,coding_sys_oid,ACC.7.22.14,,,
ACC.7.22.15,acc_entered_by,assgn_jurisdiction,value_set_oid,ACC.7.22.15,,,
ACC.7.22.16,acc_entered_by,assgn_jurisdiction,value_set_ver_id,ACC.7.22.16,,,
ACC.7.22.17,acc_entered_by,assgn_jurisdiction,alt_coding_sys_oid,ACC.7.22.17,,,
ACC.7.22.18,acc_entered_by,assgn_jurisdiction,alt_value_set_oid,ACC.7.22.18,,,
ACC.7.22.19,acc_entered_by,assgn_jurisdiction,alt_value_set_ver_id,ACC.7.22.19,,,
ACC.7.22.20,acc_entered_by,assgn_jurisdiction,second_alt_coding_sys_oid,ACC.7.22.20,,,
ACC.7.22.21,acc_entered_by,assgn_jurisdiction,second_alt_value_set_oid,ACC.7.22.21,,,
ACC.7.22.22,acc_entered_by,assgn_jurisdiction,second_alt_value_set_ver_id,ACC.7.22.22,,,
ACC.7.23,acc_entered_by,assgn_agency_dept,,ACC.7.23,,,
ACC.7.23.1,acc_entered_by,assgn_agency_dept,primary_id,ACC.7.23.1,,,
ACC.7.23.2,acc_entered_by,assgn_agency_dept,text,ACC.7.23.2,,,
ACC.7.23.3,acc_entered_by,assgn_agency_dept,name_of_coding_sys,ACC.7.23.3,,,
ACC.7.23.4,acc_entered_by,assgn_agency_dept,alt_identifier,ACC.7.23.4,,,
ACC.7.23.5,acc_entered_by,assgn_agency_dept,alt_text,ACC.7.23.5,,,
ACC.7.23.6,acc_entered_by,assgn_agency_dept,name_of_alt_coding_sys,ACC.7.23.6,,,
ACC.7.23.7,acc_entered_by,assgn_agency_dept,coding_sys_ver_id,ACC.7.23.7,,,
ACC.7.23.8,acc_entered_by,assgn_agency_dept,alt_coding_sys_ver_id,ACC.7.23.8,,,
ACC.7.23.9,acc_entered_by,assgn_agency_dept,original_text,ACC.7.23.9,,,
ACC.7.23.10,acc_entered_by,assgn_agency_dept,second_alt_id,ACC.7.23.10,,,
ACC.7.23.11,acc_entered_by,assgn_agency_dept,second_alt_text,ACC.7.23.11,,,
ACC.7.23.12,acc_entered_by,assgn_agency_dept,name_of_second_alt_coding_sys,ACC.7.23.12,,,
ACC.7.23.13,acc_entered_by,assgn_agency_dept,second_alt_coding_sys_ver_id,ACC.7.23.13,,,
ACC.7.23.14,acc_entered_by,assgn_agency_dept,coding_sys_oid,ACC.7.23.14,,,
ACC.7.23.15,acc_entered_by,assgn_agency_dept,value_set_oid,ACC.7.23.15,,,
ACC.7.23.16,acc_entered_by,assgn_agency_dept,value_set_ver_id,ACC.7.23.16,,,
ACC.7.23.17,acc_entered_by,assgn_agency_dept,alt_coding_sys_oid,ACC.7.23.17,,,
ACC.7.23.18,acc_entered_by,assgn_agency_dept,alt_value_set_oid,ACC.7.23.18,,,
ACC.7.23.19,acc_entered_by,assgn_agency_dept,alt_value_set_ver_id,ACC.7.23.19,,,
ACC.7.23.20,acc_entered_by,assgn_agency_dept,second_alt_coding_sys_oid,ACC.7.23.20,,,
ACC.7.23.21,acc_entered_by,assgn_agency_dept,second_alt_value_set_oid,ACC.7.23.21,,,
ACC.7.23.22,acc_entered_by,assgn_agency_dept,second_alt_value_set_ver_id,ACC.7.23.22,,,
ACC.7.24,acc_entered_by,security_check,,ACC.7.24,,,
ACC.7.25,acc_entered_by,security_check_scheme,,ACC.7.25,,,
ACC.8,acc_accident_desc,,,ACC.8,,,
ACC.9,acc_brought_in_by,,,ACC.9,,,
ACC.10,acc_police_notified_ind,,,ACC.10,,,
ACC.11,acc_accident_address,,,ACC.11,,,
ACC.11.1,acc_accident_address,street_address1,,ACC.11.1,,,
ACC.11.1.1,acc_accident_address,street_address1,street_mailing_address,ACC.11.1.1,,,
ACC.11.1.2,acc_accident_address,street_address1,street_name,ACC.11.1.2,,,
ACC.11.1.3,acc_accident_address,street_address1,dwelling_num,ACC.11.1.3,,,
ACC.11.2,acc_accident_address,street_address2,,ACC.11.2,,,
ACC.11.3,acc_accident_address,city,,ACC.11.3,,,
ACC.11.4,acc_accident_address,state_province,,ACC.11.4,,,
ACC.11.5,acc_accident_address,zip_postal_code,,ACC.11.5,,,
ACC.11.6,acc_accident_address,country,,ACC.11.6,,,
ACC.11.7,acc_accident_address,address_type,,ACC.11.7,,,
ACC.11.8,acc_accident_address,other_geo_designation,,ACC.11.8,,,
ACC.11.9,acc_accident_address,county_parish_code,,ACC.11.9,,,
ACC.11.9.1,acc_accident_address,county_parish_code,primary_id,ACC.11.9.1,,,
ACC.11.9.2,acc_accident_address,county_parish_code,text,ACC.11.9.2,,,
ACC.11.9.3,acc_accident_address,county_parish_code,name_of_coding_sys,ACC.11.9.3,,,
ACC.11.9.4,acc_accident_address,county_parish_code,alt_identifier,ACC.11.9.4,,,
ACC.11.9.5,acc_accident_address,county_parish_code,alt_text,ACC.11.9.5,,,
ACC.11.9.6,acc_accident_address,county_parish_code,name_of_alt_coding_sys,ACC.11.9.6,,,
ACC.11.9.7,acc_accident_address,county_parish_code,coding_sys_ver_id,ACC.11.9.7,,,
ACC.11.9.8,acc_accident_address,county_parish_code,alt_coding_sys_ver_id,ACC.11.9.8,,,
ACC.11.9.9,acc_accident_address,county_parish_code,original_text,ACC.11.9.9,,,
ACC.11.9.10,acc_accident_address,county_parish_code,second_alt_id,ACC.11.9.10,,,
ACC.11.9.11,acc_accident_address,county_parish_code,second_alt_text,ACC.11.9.11,,,
ACC.11.9.12,acc_accident_address,county_parish_code,name_of_second_alt_coding_sys,ACC.11.9.12,,,
ACC.11.9.13,acc_accident_address,county_parish_code,second_alt_coding_sys_ver_id,ACC.11.9.13,,,
ACC.11.9.14,acc_accident_address,county_parish_code,coding_sys_oid,ACC.11.9.14,,,
ACC.11.9.15,acc_accident_address,county_parish_code,value_set_oid,ACC.11.9.15,,,
ACC.11.9.16,acc_accident_address,county_parish_code,value_set_ver_id,ACC.11.9.16,,,
ACC.11.9.17,acc_accident_address,county_parish_code,alt_coding_sys_oid,ACC.11.9.17,,,
ACC.11.9.18,acc_accident_address,county_parish_code,alt_value_set_oid,ACC.11.9.18,,,
ACC.11.9.19,acc_accident_address,county_parish_code,alt_value_set_ver_id,ACC.11.9.19,,,
ACC.11.9.20,acc_accident_address,county_parish_code,second_alt_coding_sys_oid,ACC.11.9.20,,,
ACC.11.9.21,acc_accident_address,county_parish_code,second_alt_value_set_oid,ACC.11.9.21,,,
ACC.11.9.22,acc_accident_address,county_parish_code,second_alt_value_set_ver_id,ACC.11.9.22,,,
ACC.11.10,acc_accident_address,census_tract,,ACC.11.10,,,
ACC.11.10.1,acc_accident_address,census_tract,primary_id,ACC.11.10.1,,,
ACC.11.10.2,acc_accident_address,census_tract,text,ACC.11.10.2,,,
ACC.11.10.3,acc_accident_address,census_tract,name_of_coding_sys,ACC.11.10.3,,,
ACC.11.10.4,acc_accident_address,census_tract,alt_identifier,ACC.11.10.4,,,
ACC.11.10.5,acc_accident_address,census_tract,alt_text,ACC.11.10.5,,,
ACC.11.10.6,acc_accident_address,census_tract,name_of_alt_coding_sys,ACC.11.10.6,,,
ACC.11.10.7,acc_accident_address,census_tract,coding_sys_ver_id,ACC.11.10.7,,,
ACC.11.10.8,acc_accident_address,census_tract,alt_coding_sys_ver_id,ACC.11.10.8,,,
ACC.11.10.9,acc_accident_address,census_tract,original_text,ACC.11.10.9,,,
ACC.11.10.10,acc_accident_address,census_tract,second_alt_id,ACC.11.10.10,,,
ACC.11.10.11,acc_accident_address,census_tract,second_alt_text,ACC.11.10.11,,,
ACC.11.10.12,acc_accident_address,census_tract,name_of_second_alt_coding_sys,ACC.11.10.12,,,
ACC.11.10.13,acc_accident_address,census_tract,second_alt_coding_sys_ver_id,ACC.11.10.13,,,
ACC.11.10.14,acc_accident_address,census_tract,coding_sys_oid,ACC.11.10.14,,,
ACC.11.10.15,acc_accident_address,census_tract,value_set_oid,ACC.11.10.15,,,
ACC.11.10.16,acc_accident_address,census_tract,value_set_ver_id,ACC.11.10.16,,,
ACC.11.10.17,acc_accident_address,census_tract,alt_coding_sys_oid,ACC.11.10.17,,,
ACC.11.10.18,acc_accident_address,census_tract,alt_value_set_oid,ACC.11.10.18,,,
ACC.11.10.19,acc_accident_address,census_tract,alt_value_set_ver_id,ACC.11.10.19,,,
ACC.11.10.20,acc_accident_address,census_tract,second_alt_coding_sys_oid,ACC.11.10.20,,,
ACC.11.10.21,acc_accident_address,census_tract,second_alt_value_set_oid,ACC.11.10.21,,,
ACC.11.10.22,acc_accident_address,census_tract,second_alt_value_set_ver_id,ACC.11.10.22,,,
ACC.11.11,acc_accident_address,rep_code,,ACC.11.11,,,
ACC.11.12,acc_accident_address,validity_range,,ACC.11.12,,,
ACC.11.12.1,acc_accident_address,validity_range,eff_from_date_time,ACC.11.12.1,,,
ACC.11.12.2,acc_accident_address,validity_range,eff_to_date_time,ACC.11.12.2,,,
ACC.11.13,acc_accident_address,eff_from_date_time,,ACC.11.13,,,
ACC.11.14,acc_accident_address,eff_to_date_time,,ACC.11.14,,,
ACC.11.15,acc_accident_address,expr_reason,,ACC.11.15,,,
ACC.11.15.1,acc_accident_address,expr_reason,primary_id,ACC.11.15.1,,,
ACC.11.15.2,acc_accident_address,expr_reason,text,ACC.11.15.2,,,
ACC.11.15.3,acc_accident_address,expr_reason,name_of_coding_sys,ACC.11.15.3,,,
ACC.11.15.4,acc_accident_address,expr_reason,alt_identifier,ACC.11.15.4,,,
ACC.11.15.5,acc_accident_address,expr_reason,alt_text,ACC.11.15.5,,,
ACC.11.15.6,acc_accident_address,expr_reason,name_of_alt_coding_sys,ACC.11.15.6,,,
ACC.11.15.7,acc_accident_address,expr_reason,coding_sys_ver_id,ACC.11.15.7,,,
ACC.11.15.8,acc_accident_address,expr_reason,alt_coding_sys_ver_id,ACC.11.15.8,,,
ACC.11.15.9,acc_accident_address,expr_reason,original_text,ACC.11.15.9,,,
ACC.11.15.10,acc_accident_address,expr_reason,second_alt_id,ACC.11.15.10,,,
ACC.11.15.11,acc_accident_address,expr_reason,second_alt_text,ACC.11.15.11,,,
ACC.11.15.12,acc_accident_address,expr_reason,name_of_second_alt_coding_sys,ACC.11.15.12,,,
ACC.11.15.13,acc_accident_address,expr_reason,second_alt_coding_sys_ver_id,ACC.11.15.13,,,
ACC.11.15.14,acc_accident_address,expr_reason,coding_sys_oid,ACC.11.15.14,,,
ACC.11.15.15,acc_accident_address,expr_reason,value_set_oid,ACC.11.15.15,,,
ACC.11.15.16,acc_accident_address,expr_reason,value_set_ver_id,ACC.11.15.16,,,
ACC.11.15.17,acc_accident_address,expr_reason,alt_coding_sys_oid,ACC.11.15.17,,,
ACC.11.15.18,acc_accident_address,expr_reason,alt_value_set_oid,ACC.11.15.18,,,
ACC.11.15.19,acc_accident_address,expr_reason,alt_value_set_ver_id,ACC.11.15.19,,,
ACC.11.15.20,acc_accident_address,expr_reason,second_alt_coding_sys_oid,ACC.11.15.20,,,
ACC.11.15.21,acc_accident_address,expr_reason,second_alt_value_set_oid,ACC.11.15.21,,,
ACC.11.15.22,acc_accident_address,expr_reason,second_alt_value_set_ver_id,ACC.11.15.22,,,
ACC.11.16,acc_accident_address,temporary_indicator,,ACC.11.16,,,
ACC.11.17,acc_accident_address,bad_indicator,,ACC.11.17,,,
ACC.11.18,acc_accident_address,address_usage,,ACC.11.18,,,
ACC.11.19,acc_accident_address,addressee,,ACC.11.19,,,
ACC.11.20,acc_accident_address,address_comment,,ACC.11.20,,,
ACC.11.21,acc_accident_address,pref_order,,ACC.11.21,,,
ACC.11.22,acc_accident_address,protection_code,,ACC.11.22,,,
ACC.11.22.1,acc_accident_address,protection_code,primary_id,ACC.11.22.1,,,
ACC.11.22.2,acc_accident_address,protection_code,text,ACC.11.22.2,,,
ACC.11.22.3,acc_accident_address,protection_code,name_of_coding_sys,ACC.11.22.3,,,
ACC.11.22.4,acc_accident_address,protection_code,alt_identifier,ACC.11.22.4,,,
ACC.11.22.5,acc_accident_address,protection_code,alt_text,ACC.11.22.5,,,
ACC.11.22.6,acc_accident_address,protection_code,name_of_alt_coding_sys,ACC.11.22.6,,,
ACC.11.22.7,acc_accident_address,protection_code,coding_sys_ver_id,ACC.11.22.7,,,
ACC.11.22.8,acc_accident_address,protection_code,alt_coding_sys_ver_id,ACC.11.22.8,,,
ACC.11.22.9,acc_accident_address,protection_code,original_text,ACC.11.22.9,,,
ACC.11.22.10,acc_accident_address,protection_code,second_alt_id,ACC.11.22.10,,,
ACC.11.22.11,acc_accident_address,protection_code,second_alt_text,ACC.11.22.11,,,
ACC.11.22.12,acc_accident_address,protection_code,name_of_second_alt_coding_sys,ACC.11.22.12,,,
ACC.11.22.13,acc_accident_address,protection_code,second_alt_coding_sys_ver_id,ACC.11.22.13,,,
ACC.11.22.14,acc_accident_address,protection_code,coding_sys_oid,ACC.11.22.14,,,
ACC.11.22.15,acc_accident_address,protection_code,value_set_oid,ACC.11.22.15,,,
ACC.11.22.16,acc_accident_address,protection_code,value_set_ver_id,ACC.11.22.16,,,
ACC.11.22.17,acc_accident_address,protection_code,alt_coding_sys_oid,ACC.11.22.17,,,
ACC.11.22.18,acc_accident_address,protection_code,alt_value_set_oid,ACC.11.22.18,,,
ACC.11.22.19,acc_accident_address,protection_code,alt_value_set_ver_id,ACC.11.22.19,,,
ACC.11.22.20,acc_accident_address,protection_code,second_alt_coding_sys_oid,ACC.11.22.20,,,
ACC.11.22.21,acc_accident_address,protection_code,second_alt_value_set_oid,ACC.11.22.21,,,
ACC.11.22.22,acc_accident_address,protection_code,second_alt_value_set_ver_id,ACC.11.22.22,,,
ACC.11.23,acc_accident_address,address_id,,ACC.11.23,,,
ACC.11.23.1,acc_accident_address,address_id,entity_id,ACC.11.23.1,,,
ACC.11.23.2,acc_accident_address,address_id,namespace_id,ACC.11.23.2,,,
ACC.11.23.3,acc_accident_address,address_id,universal_id,ACC.11.23.3,,,
ACC.11.23.4,acc_accident_address,address_id,universal_id_type,ACC.11.23.4,,,
ACC.12,acc_degree_of_patient_liability,,,ACC.12,,,
ACC.13,acc_id,,,ACC.13,,,
ACC.13.1,acc_id,entity_id,,ACC.13.1,,,
ACC.13.2,acc_id,namespace_id,,ACC.13.2,,,
ACC.13.3,acc_id,universal_id,,ACC.13.3,,,
ACC.13.4,acc_id,universal_id_type,,ACC.13.4,,,
ADD.1,add_addendum_continuation_pointer,,,ADD.1,,,
ADJ.1,adj_provider_adjustment_num,,,ADJ.1,,,
ADJ.2,adj_payer_adjustment_num,,,ADJ.2,,,
ADJ.3,adj_adjustment_sequence_num,,,ADJ.3,,,
ADJ.4,adj_adjustment_category,,,ADJ.4,,,
ADJ.5,adj_adjustment_amt,,,ADJ.5,,,
ADJ.6,adj_adjustment_qty,,,ADJ.6,,,
ADJ.7,adj_adjustment_reason_pa,,,ADJ.7,,,
ADJ.8,adj_adjustment_desc,,,ADJ.8,,,
ADJ.9,adj_original_value,,,ADJ.9,,,
ADJ.10,adj_substitute_value,,,ADJ.10,,,
ADJ.11,adj_adjustment_action_code,,,ADJ.11,,,
ADJ.12,adj_provider_adjustment_cross_reference_num,,,ADJ.12,,,
ADJ.13,adj_provider_product_service_line_item_cross_reference_num,,,ADJ.13,,,
ADJ.14,adj_adjustment_date_time,,,ADJ.14,,,
